ID,CITY,STATE,COUNTY,LOCATION
2e9acb4dfcf3979abcb892fdb02e8792cfc74a04,RGVudmVyLCBDTw==,8.0,8031.0,"{
  ""lat"": 39.7392358,
  ""lon"": -104.990251
}"
1252dacd6ef735716297a9d1648f7b7ed7841bb1,Qm91bGRlciwgQ08=,8.0,8013.0,"{
  ""lat"": 40.0149856,
  ""lon"": -105.2705456
}"
01bee2eb8933c52d4f95ce518af843d3aee6ab8e,TWNMZWFuLCBWQQ==,51.0,51059.0,"{
  ""lat"": 38.9338676,
  ""lon"": -77.1772604
}"
3af155815542c67523a8b31b38a01fb1313b2c0d,UGhpbGFkZWxwaGlhLCBQQQ==,42.0,42101.0,"{
  ""lat"": 39.9525839,
  ""lon"": -75.1652215
}"
8b7196b4a4fbb9609519f5c51e3dcee386f23471,Q2hhcmxvdHRlLCBOQw==,37.0,37119.0,"{
  ""lat"": 35.2270869,
  ""lon"": -80.8431267
}"
cf64f45f81968062f6add1490edf4cd3830aefd9,TGVhd29vZCwgS1M=,20.0,20091.0,"{
  ""lat"": 38.966673,
  ""lon"": -94.6169012
}"
29d6f498a7b77409dafa0fdd3183d74b81a6244a,QXVyb3JhLCBDTw==,8.0,8005.0,"{
  ""lat"": 39.7294319,
  ""lon"": -104.8319195
}"
01ffc820c82f9120a2edf94c78f7a5b581ae6597,Tm9ydGgsIFND,45.0,45075.0,"{
  ""lat"": 33.6157083,
  ""lon"": -81.1020414
}"
3ab12db3af482b82f78111a96b015cdff6b3923f,UmVkIEJhbmssIE5K,34.0,34025.0,"{
  ""lat"": 40.3470543,
  ""lon"": -74.0643065
}"
40d932daef2c36a26ae22a8e67e89e0d2a47af02,Qm9zdG9uLCBNQQ==,25.0,25025.0,"{
  ""lat"": 42.3600825,
  ""lon"": -71.0588801
}"
6700ce3dcf7f4c0b41bbaec506980b54707024f8,R3JhbmQgUmFwaWRzLCBNSQ==,26.0,26081.0,"{
  ""lat"": 42.9633599,
  ""lon"": -85.6680863
}"
2b9cd1c2f0413e5eee667a0e785f131f3ab50817,Qm9zdG9uLCBNQQ==,25.0,25025.0,"{
  ""lat"": 42.3600825,
  ""lon"": -71.0588801
}"
6441e3a33a8bfdf88466ede9c27e8155c49343f6,V2FjbywgVFg=,48.0,48309.0,"{
  ""lat"": 31.549333,
  ""lon"": -97.1466695
}"
4bcf4488fa39f34d226ca51955d005fe576acff3,QnJvbnh2aWxsZSwgTlk=,36.0,36119.0,"{
  ""lat"": 40.9381544,
  ""lon"": -73.8320784
}"
